Year,Neighborhood,daytime surface temp,heat vulnerability index,latitude,longitude,Borough,GeoID
2018,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,96.19700926,2,40.5912,-73.9446,Brooklyn,4717
2018,East Williamsburg,100.0169823,4,40.7142,-73.9316,Brooklyn,4790
2018,Brooklyn Heights-Cobble Hill,95.68860108,2,40.6960,-73.9933,Brooklyn,4709
2018,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,98.08880548,3,40.6961,-73.9845,Brooklyn,4738
2018,Georgetown-Marine Park-Bergen Beach-Mill Basin,99.39089197,2,40.6114,-73.9332,Brooklyn,4745
2018,Carroll Gardens-Columbia Street-Red Hook,96.96953473,2,40.6874,-74.0021,Brooklyn,4733
2018,Sunset Park East,96.68955268,3,40.6455,-74.0124,Brooklyn,4734
2018,Sunset Park West,97.52891384,4,40.6455,-74.0124,Brooklyn,4732
2018,Brighton Beach,95.49984914,3,40.5781,-73.9597,Brooklyn,4719
2018,Greenpoint,98.71340828,3,40.7305,-73.9515,Brooklyn,4776
2018,Dyker Heights,96.0590563,2,40.6168,-74.0183,Brooklyn,4730
2018,Bay Ridge,93.95180299,1,40.6264,-74.0299,Brooklyn,4731
2018,Crown Heights North,97.82917058,5,40.6681,-73.9448,Brooklyn,4761
2018,Prospect Heights,96.61703529,3,40.6774,-73.9668,Brooklyn,4764
2018,East New York,100.6624704,5,40.6591,-73.8759,Brooklyn,4782
2018,Cypress Hills-City Line,98.95599168,4,40.7014,-73.8686,Brooklyn,4783
2018,Clinton,98.27316566,2,40.7638,-73.9918,Manhattan,6115
2018,Battery Park City-Lower Manhattan,92.562363,1,40.7116,-74.0158,Manhattan,6125
2018,Lincoln Square,96.39471475,2,40.7738,-73.9845,Manhattan,6114
2018,Midtown-Midtown South,97.48645553,2,40.7522,-73.9875,Manhattan,6117
2018,Upper East Side-Carnegie Hill,97.47081353,1,40.7845,-73.9551,Manhattan,6140
2018,Central Harlem North-Polo Grounds,98.39010671,5,40.8272,-73.9380,Manhattan,6103
2018,Yorkville,96.63946686,1,40.7762,-73.9492,Manhattan,6132
2018,Marble Hill-Inwood,97.08473142,3,40.8723,-73.9067,Manhattan,6101
2018,Hudson Yards-Chelsea-Flatiron-Union Square,99.13090091,2,40.7465,-74.0014,Manhattan,6113
2018,West Village,98.00360227,1,40.7347,-74.0048,Manhattan,6123
2018,Upper West Side,95.50503561,1,40.7870,-73.9754,Manhattan,6112
2018,Hamilton Heights,95.1472136,3,40.8253,-73.9476,Manhattan,6104
2018,East Harlem South,97.75786465,4,40.7921,-73.9374,Manhattan,6133
2018,Central Harlem South,98.34958117,5,40.8089,-73.9482,Manhattan,6111
2018,East Harlem North,98.17807516,5,40.7957,-73.9389,Manhattan,6134
2018,East Village,98.28278123,3,40.7265,-73.9815,Manhattan,6122
2018,Lower East Side,97.43372259,3,40.7150,-73.9843,Manhattan,6128
2018,Murray Hill-Kips Bay,97.81269679,2,40.7395,-73.9771,Manhattan,6120
2018,Gramercy,99.92538267,3,40.7368,-73.9845,Manhattan,6121
2018,Stuyvesant Town-Cooper Village,94.05055582,1,40.7320,-73.9780,Manhattan,6150
2018,Manhattanville,96.75853841,4,40.8169,-73.9558,Manhattan,6106
2018,Morningside Heights,96.21608824,2,40.8105,73.9621,Manhattan,6109
2018,SoHo-TriBeCa-Civic Center-Little Italy,98.67849915,2,40.7293,-73.9874,Manhattan,6124
2018,Chinatown,97.76658434,4,40.7158,-73.9970,Manhattan,6127
2018,Washington Heights North,94.62675737,1,40.8520,-73.9360,Manhattan,6135
2018,Washington Heights South,95.56111375,2,40.8402,-73.9402,Manhattan,6136
2018,Turtle Bay-East Midtown,97.19526825,2,40.7571,73.9719,Manhattan,6119
2018,Lenox Hill-Roosevelt Island,96.237478,1,40.7605,-73.9510,Manhattan,6131
2018,Murray Hill,100.1024543,2,40.7479,-73.9757,Queens,8151
2018,East Elmhurst,101.2176968,4,40.7738,-73.8713,Queens,8127
2018,Hollis,102.367204,5,40.7112,-73.7625,Queens,8107
2018,Fresh Meadows-Utopia,99.88598452,1,40.7327,-73.7849,Queens,8141
2018,St. Albans,102.3406254,5,40.6895,-73.7644,Queens,8108
2018,Jamaica Estates-Holliswood,98.37872136,1,40.7332,-73.7632,Queens,8106
2018,Cambria Heights,102.4313774,4,40.6922,-73.7331,Queens,8133
2018,Ridgewood,96.42482076,1,40.7044,-73.9018,Queens,8120
2018,Queensbridge-Ravenswood-Long Island City,100.0018043,4,40.7557,-73.9457,Queens,8168
2018,Glendale,97.60272096,2,40.7017,-73.8842,Queens,8119
2018,Van Cortlandt Village,95.5629472,3,40.8837,-73.8931,Queens,528
2018,Pomonok-Flushing Heights-Hillcrest,101.0543095,3,40.7323,-73.8108,Queens,8138
2018,Queens Village,102.6698068,4,40.7157,-73.7419,Queens,8134
2018,Middle Village,98.45919411,1,40.7174,-73.8743,Queens,8121
2018,South Ozone Park,102.4467514,4,40.6764,-73.8125,Queens,8155
2018,Maspeth,99.72052044,2,40.7294,-73.9066,Queens,8130
2018,College Point,99.74570545,2,40.7864,-73.8390,Queens,8123
2018,Douglas Manor-Douglaston-Little Neck,96.96541459,1,40.7590,-73.7397,Queens,8145
2018,Auburndale,101.4404933,2,40.7578,-73.7834,Queens,8148
2018,East Flushing,101.418616,2,40.7685,-73.8328,Queens,8152
2018,Rosedale,99.22625859,3,40.6576,-73.7331,Queens,8105
2018,Bayside-Bayside Hills,100.1625428,2,40.7531,-73.7662,Queens,8146
2018,Old Astoria,97.62442989,3,40.7670,-73.9210,Queens,8171
2018,Steinway,97.77586287,2,40.7745,-73.9037,Queens,8172
2018,Ft. Totten-Bay Terrace-Clearview,97.98401077,1,40.7814,-73.7782,Queens,8147
2018,Flushing,99.81605958,3,40.7675,-73.8331,Queens,8122
2018,Springfield Gardens North,101.5070215,5,40.6626,-73.7684,Queens,8102
2018,Oakland Gardens,97.96167588,1,40.7409,-73.7582,Queens,8142
2018,Kew Gardens Hills,100.3330553,2,40.7247,-73.8208,Queens,8137
2018,Corona,100.710801,4,40.7450,-73.8643,Queens,8125
2018,North Corona,100.2777221,4,40.7544,-73.8669,Queens,8126
2018,Forest Hills,98.63326093,2,40.7181,-73.8448,Queens,8117
2018,Rego Park,100.0791442,3,40.7256,-73.8625,Queens,8118
2018,Jackson Heights,99.03884791,2,40.7557,-73.8831,Queens,8128
2018,Woodside,100.2248207,3,40.7533,-73.9069,Queens,8163
2018,Briarwood-Jamaica Hills,101.0696527,3,40.7111,-73.8141,Queens,8135
2018,Kew Gardens,98.05061647,2,40.7057,-73.8272,Queens,8160
2018,Astoria,97.60236377,2,40.7644,-73.9235,Queens,8170
2018,Queensboro Hill,99.95463356,2,40.7438,-73.8257,Queens,8162
2018,Hammels-Arverne-Edgemere,93.70108657,3,40.5964,-73.7847,Queens,8112
2018,Far Rockaway-Bayswater,95.9282564,4,40.6068,-73.7669,Queens,8115
2018,Bellerose,100.55664,2,40.7362,-73.7137,Queens,8143
2018,Glen Oaks-Floral Park-New Hyde Park,99.97110548,1,40.7239,-73.7058,Queens,8144
2018,South Jamaica,102.7573889,5,40.6809,-73.7919,Queens,8101
2018,Baisley Park,101.7113114,4,40.6738,-73.7860,Queens,8176
2018,Laurelton,102.1181001,4,40.6776,-73.7448,Queens,8166
2018,Hunters Point-Sunnyside-West Maspeth,99.11029112,3,40.7429,-73.9188,Queens,8131
2018,Springfield Gardens South-Brookville,101.1868077,4,40.6626,-73.7684,Queens,8103
2018,Woodhaven,100.4091347,3,40.6901,-73.8566,Queens,8153
